"Predicted_Units_Sold","Predicted_Total_Revenue","Predicted_Total_Profit"
4309.44850164072,4445.26879098407,4445.26879098407
3334.84645260555,3468.53083931875,3468.53083931875
5860.70267402325,5959.1254929651,5959.1254929651
3673.71672809486,3793.77714799452,3793.77714799452
3326.12127178747,3475.53828745449,3475.53828745449
8105.41552145778,8193.00111704132,8193.00111704132
3535.39483587087,3669.20188953317,3669.20188953317
3387.35901040803,3516.99957389624,3516.99957389624
4914.08311056996,5026.65208690893,5026.65208690893
3876.46419155827,4016.68684544253,4016.68684544253
5899.89205266862,5994.55301591486,5994.55301591486
3249.20910693288,3372.95980915784,3372.95980915784
3239.53921954585,3383.7672673037,3383.7672673037
4282.53758898678,4395.64799672948,4395.64799672948
3252.71246154337,3394.08932590185,3394.08932590185
3349.40196633143,3477.68167639869,3477.68167639869
3258.45741517809,3387.75414831679,3387.75414831679
5402.15613843887,5506.91546081568,5506.91546081568
3942.28489140471,4064.79221789712,4064.79221789712
4764.09870612967,4893.02437013703,4893.02437013703
6664.87891832559,6770.95875647201,6770.95875647201
3334.74184977341,3459.27951549041,3459.27951549041
8891.79887517276,8976.42391910933,8976.42391910933
5480.23897596002,5595.07717543848,5595.07717543848
6347.20891890057,6435.953597443,6435.953597443
10972.0276218302,11033.223600372,11033.223600372
5625.32264912873,5724.66003824973,5724.66003824973
9480.39685444771,9550.59746647926,9550.59746647926
3486.8876927929,3607.99603366063,3607.99603366063
4794.29233233586,4928.56108959252,4928.56108959252
6024.86754805028,6120.72849069901,6120.72849069901
8000.57321641779,8086.71103545822,8086.71103545822
5132.36492407389,5257.24940358925,5257.24940358925
8161.9769189683,8252.72718141553,8252.72718141553
3484.15026557008,3626.31511038222,3626.31511038222
3538.72538337463,3671.81120849468,3671.81120849468
3503.94480790647,3625.32033092514,3625.32033092514
4792.66701858851,4924.57517549943,4924.57517549943
7816.42459410797,7917.16413153915,7917.16413153915
4059.46302031202,4182.4397560901,4182.4397560901
3616.39469072903,3759.381722697,3759.381722697
5515.57566167991,5624.90441096343,5624.90441096343
3815.68294853091,3947.36598788259,3947.36598788259
7221.12328773225,7328.83940725257,7328.83940725257
4741.46667199043,4847.29384382385,4847.29384382385
7473.18976744271,7553.66517382437,7553.66517382437
4276.12519399877,4400.92654737937,4400.92654737937
3375.65585065016,3504.30775270592,3504.30775270592
4777.97977283865,4896.51630540662,4896.51630540662
6216.872758655,6307.09926069203,6307.09926069203
4753.74550231425,4878.65804044204,4878.65804044204
5632.34226024426,5734.15385543279,5734.15385543279
7741.47291481675,7817.53204382654,7817.53204382654
3719.3711136668,3863.66523268318,3863.66523268318
5008.89789493006,5140.71788468409,5140.71788468409
3795.7195637282,3929.36246261169,3929.36246261169
10073.8575428351,10146.838277208,10146.838277208
3408.1751436182,3552.10716204061,3552.10716204061
3243.94068885634,3376.3065198788,3376.3065198788
3774.61670836607,3903.05479454113,3903.05479454113
4973.61224638917,5093.74876777878,5093.74876777878
6793.1207684975,6892.94234923261,6892.94234923261
3967.5822541856,4102.30851147078,4102.30851147078
4858.32067016856,4978.99590276059,4978.99590276059
7909.45982423588,7988.13276246207,7988.13276246207
5315.54398392025,5416.4000718165,5416.4000718165
3300.69896760552,3448.76011360533,3448.76011360533
3385.86467398965,3532.63863400245,3532.63863400245
3674.86703676602,3813.1893942739,3813.1893942739
4751.34093807122,4863.36085295772,4863.36085295772
3231.55060037747,3379.82757081453,3379.82757081453
3837.68025743368,3964.01815828535,3964.01815828535
3711.16097590875,3855.29666949745,3855.29666949745
3226.43333587847,3377.04672570535,3377.04672570535
5447.03303577889,5561.5842237682,5561.5842237682
4749.69674204662,4881.2403807893,4881.2403807893
5644.9557011502,5763.69601497348,5763.69601497348
4234.74717642813,4351.92580722512,4351.92580722512
4792.92433508179,4921.85186690965,4921.85186690965
3695.45139952096,3821.78104008508,3821.78104008508
4471.06735165104,4584.06496712251,4584.06496712251
4215.1453612256,4351.09743883379,4351.09743883379
4924.83534027939,5044.66954271246,5044.66954271246
3741.23846741447,3875.58278396632,3875.58278396632
7779.98094599695,7882.04278193422,7882.04278193422
3316.67878731085,3460.00555236635,3460.00555236635
5501.04537761824,5618.85280788817,5618.85280788817
3972.62882106515,4105.59785119744,4105.59785119744
3410.15719809136,3534.7011264558,3534.7011264558
6896.91301476118,7005.65971545894,7005.65971545894
5092.09268344629,5197.82745553103,5197.82745553103
7103.72969452949,7194.08627013287,7194.08627013287
3871.25316001368,4003.79774380954,4003.79774380954
8655.8665493464,8723.15924365595,8723.15924365595
3679.67323040212,3819.96862742002,3819.96862742002
3271.01288585909,3410.02994534775,3410.02994534775
6662.23271586579,6753.07664410204,6753.07664410204
5580.27779677592,5688.00297299089,5688.00297299089
5959.62403160882,6068.78087463466,6068.78087463466
4801.06441315375,4915.56170624536,4915.56170624536
3332.46732204181,3478.88133861484,3478.88133861484
